IntID,ExtID,Type,Longitude,Latitude,uuid,cluster
11,41421,B,32.142391,-28.429125,58686d87-45c7-e611-afeb-00505698216f,1
12,41422,B,32.142456,-28.429041,59686d87-45c7-e611-afeb-00505698216f,1
13,41423,B,32.14254,-28.428936,5a686d87-45c7-e611-afeb-00505698216f,1
14,41424,B,32.142562,-28.428631,5b686d87-45c7-e611-afeb-00505698216f,9
15,41425,B,32.140251,-28.433014,5c686d87-45c7-e611-afeb-00505698216f,866
16,41426,B,32.135307,-28.441591,5d686d87-45c7-e611-afeb-00505698216f,891
17,41427,B,32.095278,-28.382467,5e686d87-45c7-e611-afeb-00505698216f,965
18,41428,B,32.097067,-28.380609,5f686d87-45c7-e611-afeb-00505698216f,968
19,41429,B,32.160317,-28.418874,60686d87-45c7-e611-afeb-00505698216f,248
20,41432,B,32.024987,-28.27783,61686d87-45c7-e611-afeb-00505698216f,2896
21,41433,B,31.997011,-28.301504,62686d87-45c7-e611-afeb-00505698216f,3603
22,41434,B,32.006057,-28.293622,63686d87-45c7-e611-afeb-00505698216f,3614
23,41435,B,32.018151,-28.304975,64686d87-45c7-e611-afeb-00505698216f,2937
25,41437,B,32.037236,-28.326424,66686d87-45c7-e611-afeb-00505698216f,3701
26,41438,B,32.070699,-28.324124,67686d87-45c7-e611-afeb-00505698216f,3677
27,41439,B,32.037419,-28.347549,68686d87-45c7-e611-afeb-00505698216f,3711
28,10000,B,32.173108,-28.377824,69686d87-45c7-e611-afeb-00505698216f,1171
29,10001,B,32.173054,-28.377451,6a686d87-45c7-e611-afeb-00505698216f,1171
30,10002,B,32.172749,-28.376825,6b686d87-45c7-e611-afeb-00505698216f,1163
31,10003,B,32.17244,-28.377393,6c686d87-45c7-e611-afeb-00505698216f,1170
32,10004,B,32.172543,-28.378181,6d686d87-45c7-e611-afeb-00505698216f,1169
33,10005,B,32.172787,-28.378822,6e686d87-45c7-e611-afeb-00505698216f,1169
34,10006,B,32.169587,-28.37127,6f686d87-45c7-e611-afeb-00505698216f,1160
35,10007,B,32.171261,-28.368293,70686d87-45c7-e611-afeb-00505698216f,3333
36,10008,B,32.169873,-28.36839,71686d87-45c7-e611-afeb-00505698216f,3333
37,10009,B,32.171231,-28.367238,72686d87-45c7-e611-afeb-00505698216f,3334
38,10010,B,32.171704,-28.367127,73686d87-45c7-e611-afeb-00505698216f,3335
39,10011,B,32.170621,-28.366952,74686d87-45c7-e611-afeb-00505698216f,3333
40,10012,B,32.168591,-28.366624,75686d87-45c7-e611-afeb-00505698216f,3330
41,10013,B,32.171162,-28.365847,76686d87-45c7-e611-afeb-00505698216f,3335
42,10014,B,32.170498,-28.365082,77686d87-45c7-e611-afeb-00505698216f,3359
43,10015,B,32.171235,-28.365208,78686d87-45c7-e611-afeb-00505698216f,3358
44,10016,B,32.171158,-28.365063,79686d87-45c7-e611-afeb-00505698216f,3358
45,10017,B,32.171547,-28.36518,7a686d87-45c7-e611-afeb-00505698216f,3358
46,10018,B,32.171403,-28.364892,7b686d87-45c7-e611-afeb-00505698216f,3358
47,10019,B,32.170056,-28.365891,7c686d87-45c7-e611-afeb-00505698216f,3363
48,10020,B,32.171525,-28.364314,7d686d87-45c7-e611-afeb-00505698216f,3359
49,10021,B,32.171456,-28.364617,7e686d87-45c7-e611-afeb-00505698216f,3358
50,10022,B,32.16951,-28.36439,7f686d87-45c7-e611-afeb-00505698216f,3362
51,10023,B,32.167954,-28.364011,80686d87-45c7-e611-afeb-00505698216f,3330
52,10024,B,32.171479,-28.363642,81686d87-45c7-e611-afeb-00505698216f,3359
53,10025,B,32.170926,-28.363034,82686d87-45c7-e611-afeb-00505698216f,3360
