cluster,longitude,latitude
1,32.15627,-28.300134
1,32.153203,-28.298324
1,32.156998,-28.300139
1,32.152794,-28.297288
1,32.152657,-28.296372
1,32.155547,-28.296992
1,32.15636387,-28.29652732
1,32.154782,-28.297271
1,32.154019,-28.296613
1,32.15432,-28.297225
2,32.154525,-28.295834
2,32.157773,-28.293607
2,32.15487,-28.295339
2,32.157872,-28.294797
2,32.15046,-28.29259
2,32.155335,-28.294829
2,32.158066,-28.291539
2,32.15142,-28.29079
2,32.15152,-28.29012
2,32.15045,-28.291
3,32.15902,-28.443475
3,32.158719,-28.443794
3,32.159405,-28.443387
3,32.158566,-28.443616
3,32.159436,-28.443492
3,32.159703,-28.443551
3,32.159268,-28.443429
3,32.158757,-28.443553
3,32.159096,-28.443725
3,32.159094,-28.443939
4,32.159783,-28.443269
4,32.160126,-28.443035
4,32.159654,-28.442938
4,32.159337,-28.442487
4,32.159794,-28.442878
4,32.159997,-28.44186
4,32.159449,-28.441817
4,32.159958,-28.442373
4,32.158673,-28.441538
4,32.159947,-28.441498
5,32.159234,-28.441178
5,32.1587,-28.441157
5,32.15989,-28.441138
5,32.159062,-28.44072
5,32.159916,-28.44102
5,32.159901,-28.440745
5,32.15864953,-28.44069718
5,32.158781,-28.440606
5,32.159238,-28.440569
5,32.159947,-28.440491
6,32.160069,-28.440323
6,32.1587,-28.44027
6,32.158631,-28.439948
6,32.159607,-28.440165
6,32.159356,-28.440062
6,32.160054,-28.440079
6,32.159019,-28.440025
6,32.160218,-28.439568
6,32.15955,-28.439829
6,32.16018,-28.439885
7,32.158917,-28.43944
7,32.159163,-28.439336
7,32.160294,-28.438414
7,32.159421,-28.439106
7,32.158898,-28.439036
7,32.160303,-28.438681
7,32.160258,-28.438991
7,32.158586,-28.438113
7,32.15915,-28.437756
7,32.158471,-28.437861
8,32.158771,-28.437708
8,32.15852,-28.437537
8,32.159023,-28.437469
8,32.159371,-28.437307
8,32.160093,-28.437235
8,32.160177,-28.43702
8,32.159001,-28.436882
8,32.15939031,-28.43675159
8,32.160353,-28.436595
8,32.159048,-28.436546
9,32.158943,-28.43643
9,32.1588441,-28.43592784
9,32.158752,-28.435285
9,32.159079,-28.435917
9,32.15862,-28.435749
9,32.158498,-28.436126
9,32.15944,-28.435718
9,32.15945854,-28.4361708
9,32.159524,-28.436331
9,32.159543,-28.435383
10,32.159913,-28.435311
10,32.160294,-28.435393
10,32.159916,-28.436026
10,32.16021,-28.435744
10,32.160088,-28.435478
10,32.160439,-28.435549
10,32.160512,-28.435286
10,32.160435,-28.436055
