IntID,ExtID,Type,Longitude,Latitude,uuid
11,41421,B,32.14239100,-28.42912500,58686D87-45C7-E611-AFEB-00505698216F
12,41422,B,32.14245600,-28.42904100,59686D87-45C7-E611-AFEB-00505698216F
13,41423,B,32.14254000,-28.42893600,5A686D87-45C7-E611-AFEB-00505698216F
14,41424,B,32.14256200,-28.42863100,5B686D87-45C7-E611-AFEB-00505698216F
15,41425,B,32.14025100,-28.43301400,5C686D87-45C7-E611-AFEB-00505698216F
16,41426,B,32.13530700,-28.44159100,5D686D87-45C7-E611-AFEB-00505698216F
17,41427,B,32.09527800,-28.38246700,5E686D87-45C7-E611-AFEB-00505698216F
18,41428,B,32.09706700,-28.38060900,5F686D87-45C7-E611-AFEB-00505698216F
19,41429,B,32.16031700,-28.41887400,60686D87-45C7-E611-AFEB-00505698216F
20,41432,B,32.02498700,-28.27783000,61686D87-45C7-E611-AFEB-00505698216F
21,41433,B,31.99701100,-28.30150400,62686D87-45C7-E611-AFEB-00505698216F
22,41434,B,32.00605700,-28.29362200,63686D87-45C7-E611-AFEB-00505698216F
23,41435,B,32.01815100,-28.30497500,64686D87-45C7-E611-AFEB-00505698216F
25,41437,B,32.03723600,-28.32642400,66686D87-45C7-E611-AFEB-00505698216F
26,41438,B,32.07069900,-28.32412400,67686D87-45C7-E611-AFEB-00505698216F
27,41439,B,32.03741900,-28.34754900,68686D87-45C7-E611-AFEB-00505698216F
28,10000,B,32.17310800,-28.37782400,69686D87-45C7-E611-AFEB-00505698216F
29,10001,B,32.17305400,-28.37745100,6A686D87-45C7-E611-AFEB-00505698216F
30,10002,B,32.17274900,-28.37682500,6B686D87-45C7-E611-AFEB-00505698216F
31,10003,B,32.17244000,-28.37739300,6C686D87-45C7-E611-AFEB-00505698216F
32,10004,B,32.17254300,-28.37818100,6D686D87-45C7-E611-AFEB-00505698216F
33,10005,B,32.17278700,-28.37882200,6E686D87-45C7-E611-AFEB-00505698216F
34,10006,B,32.16958700,-28.37127000,6F686D87-45C7-E611-AFEB-00505698216F
35,10007,B,32.17126100,-28.36829300,70686D87-45C7-E611-AFEB-00505698216F
36,10008,B,32.16987300,-28.36839000,71686D87-45C7-E611-AFEB-00505698216F
37,10009,B,32.17123100,-28.36723800,72686D87-45C7-E611-AFEB-00505698216F
38,10010,B,32.17170400,-28.36712700,73686D87-45C7-E611-AFEB-00505698216F
39,10011,B,32.17062100,-28.36695200,74686D87-45C7-E611-AFEB-00505698216F
40,10012,B,32.16859100,-28.36662400,75686D87-45C7-E611-AFEB-00505698216F
41,10013,B,32.17116200,-28.36584700,76686D87-45C7-E611-AFEB-00505698216F
42,10014,B,32.17049800,-28.36508200,77686D87-45C7-E611-AFEB-00505698216F
43,10015,B,32.17123500,-28.36520800,78686D87-45C7-E611-AFEB-00505698216F
44,10016,B,32.17115800,-28.36506300,79686D87-45C7-E611-AFEB-00505698216F
45,10017,B,32.17154700,-28.36518000,7A686D87-45C7-E611-AFEB-00505698216F
46,10018,B,32.17140300,-28.36489200,7B686D87-45C7-E611-AFEB-00505698216F
47,10019,B,32.17005600,-28.36589100,7C686D87-45C7-E611-AFEB-00505698216F
48,10020,B,32.17152500,-28.36431400,7D686D87-45C7-E611-AFEB-00505698216F
49,10021,B,32.17145600,-28.36461700,7E686D87-45C7-E611-AFEB-00505698216F
50,10022,B,32.16951000,-28.36439000,7F686D87-45C7-E611-AFEB-00505698216F
51,10023,B,32.16795400,-28.36401100,80686D87-45C7-E611-AFEB-00505698216F
52,10024,B,32.17147900,-28.36364200,81686D87-45C7-E611-AFEB-00505698216F
53,10025,B,32.17092600,-28.36303400,82686D87-45C7-E611-AFEB-00505698216F
54,10026,B,32.17127300,-28.36274800,83686D87-45C7-E611-AFEB-00505698216F
55,10027,B,32.17171200,-28.36239500,84686D87-45C7-E611-AFEB-00505698216F
56,10028,B,32.17086100,-28.36203500,85686D87-45C7-E611-AFEB-00505698216F
57,10029,B,32.17200100,-28.36170600,86686D87-45C7-E611-AFEB-00505698216F
59,10031,B,32.17482800,-28.36323600,88686D87-45C7-E611-AFEB-00505698216F
60,10032,B,32.17530500,-28.36286200,89686D87-45C7-E611-AFEB-00505698216F
61,10034,B,32.18763500,-28.36698800,8A686D87-45C7-E611-AFEB-00505698216F
62,10035,B,32.18816900,-28.36730100,8B686D87-45C7-E611-AFEB-00505698216F
63,10036,B,32.18768500,-28.36803500,8C686D87-45C7-E611-AFEB-00505698216F
64,10037,B,32.18710900,-28.36802200,8D686D87-45C7-E611-AFEB-00505698216F
65,10038,B,32.18660500,-28.36753300,8E686D87-45C7-E611-AFEB-00505698216F
66,10039,B,32.18571200,-28.36810800,8F686D87-45C7-E611-AFEB-00505698216F
67,10040,B,32.18630400,-28.36809000,90686D87-45C7-E611-AFEB-00505698216F
68,10041,B,32.18506000,-28.36784600,91686D87-45C7-E611-AFEB-00505698216F
69,10042,B,32.18468600,-28.36826200,92686D87-45C7-E611-AFEB-00505698216F
70,10043,B,32.18696000,-28.36862200,93686D87-45C7-E611-AFEB-00505698216F
71,10045,B,32.18756600,-28.36908400,94686D87-45C7-E611-AFEB-00505698216F
72,10046,B,32.18858500,-28.36884600,95686D87-45C7-E611-AFEB-00505698216F
73,10047,B,32.18982900,-28.36830200,96686D87-45C7-E611-AFEB-00505698216F
74,10048,B,32.18920300,-28.36792400,97686D87-45C7-E611-AFEB-00505698216F
75,10049,B,32.18879900,-28.36793800,98686D87-45C7-E611-AFEB-00505698216F
76,10050,B,32.18848200,-28.36832300,99686D87-45C7-E611-AFEB-00505698216F
77,10051,B,32.18850100,-28.36621500,9A686D87-45C7-E611-AFEB-00505698216F
78,10052,B,32.18965300,-28.36662000,9B686D87-45C7-E611-AFEB-00505698216F
79,10053,B,32.18973300,-28.36572300,9C686D87-45C7-E611-AFEB-00505698216F
80,10054,B,32.19094600,-28.36647100,9D686D87-45C7-E611-AFEB-00505698216F
81,10055,B,32.19221700,-28.36595800,9E686D87-45C7-E611-AFEB-00505698216F
82,10056,B,32.17713600,-28.36256500,9F686D87-45C7-E611-AFEB-00505698216F
83,10057,B,32.18091300,-28.36157500,A0686D87-45C7-E611-AFEB-00505698216F
84,10058,B,32.18052700,-28.36145300,A1686D87-45C7-E611-AFEB-00505698216F
85,10059,B,32.17877300,-28.36220400,A2686D87-45C7-E611-AFEB-00505698216F
86,10060,B,32.17987900,-28.35798700,A3686D87-45C7-E611-AFEB-00505698216F
87,10061,B,32.17835700,-28.35774700,A4686D87-45C7-E611-AFEB-00505698216F
88,10062,B,32.17809000,-28.35731200,A5686D87-45C7-E611-AFEB-00505698216F
89,10063,B,32.17772000,-28.35684100,A6686D87-45C7-E611-AFEB-00505698216F
90,10065,B,32.17809700,-28.35582300,A7686D87-45C7-E611-AFEB-00505698216F
91,10066,B,32.17868100,-28.35605600,A8686D87-45C7-E611-AFEB-00505698216F
92,10067,B,32.18153400,-28.35315300,A9686D87-45C7-E611-AFEB-00505698216F
93,10068,B,32.18204300,-28.35296000,AA686D87-45C7-E611-AFEB-00505698216F
94,10070,B,32.18307300,-28.35300000,AB686D87-45C7-E611-AFEB-00505698216F
95,10071,B,32.18219100,-28.35371600,AC686D87-45C7-E611-AFEB-00505698216F
96,10072,B,32.18081300,-28.35413500,AD686D87-45C7-E611-AFEB-00505698216F
97,10073,B,32.17990900,-28.34830300,AE686D87-45C7-E611-AFEB-00505698216F
98,10074,B,32.17812000,-28.34782200,AF686D87-45C7-E611-AFEB-00505698216F
99,10075,B,32.17727300,-28.34839400,B0686D87-45C7-E611-AFEB-00505698216F
100,10076,B,32.17076500,-28.34956700,B1686D87-45C7-E611-AFEB-00505698216F
101,10077,B,32.17146700,-28.34792500,B2686D87-45C7-E611-AFEB-00505698216F
102,10078,B,32.17065900,-28.34816700,B3686D87-45C7-E611-AFEB-00505698216F
103,10079,B,32.17025000,-28.34736400,B4686D87-45C7-E611-AFEB-00505698216F
104,10080,B,32.17076500,-28.34629600,B5686D87-45C7-E611-AFEB-00505698216F
105,10081,B,32.17172700,-28.34578500,B6686D87-45C7-E611-AFEB-00505698216F
106,10082,B,32.17074600,-28.34568400,B7686D87-45C7-E611-AFEB-00505698216F
107,10083,B,32.17125000,-28.34112000,B8686D87-45C7-E611-AFEB-00505698216F
108,10085,B,32.20315700,-28.34950600,B9686D87-45C7-E611-AFEB-00505698216F
109,10086,B,32.20421800,-28.35009600,BA686D87-45C7-E611-AFEB-00505698216F
110,10087,B,32.20345500,-28.34852200,BB686D87-45C7-E611-AFEB-00505698216F
111,10089,B,32.20290900,-28.34812100,BC686D87-45C7-E611-AFEB-00505698216F
112,10090,B,32.20305400,-28.34750000,BD686D87-45C7-E611-AFEB-00505698216F
